2021-03-14 16:45:59,b'RT @ikhushpreet: Is this just me or somebody else is also facing issue of #airtel sim non operational. I was told to get a new sim and pay\xe2\x80\xa6'
2021-03-14 16:11:07,b'#airtel bought 200mbps from your website at 999 rental but got 24mbps and not fibre connectivity but copper one...\xe2\x80\xa6 https://t.co/zWJyrT7lXj'
2021-03-14 16:06:04,b'@Airtel_Presence Haha this is what you wanted to do!! #AirtelMustExplain #Airtel Fake Promise #Thirdclass #network'
2021-03-14 15:56:56,b'RT @SkSuroj91387727: #airtel\n@airtel\nChor company'
2021-03-14 15:50:28,b'#airtel\n@airtel\nChor company'
2021-03-14 15:40:00,b'Airtel reduces the speed of its network so that customers use less and the company benefits.  Thank you for serving\xe2\x80\xa6 https://t.co/G2QNJN1oX8'
2021-03-14 14:35:21,b'#Airtel #AirtelMustExplain #airtelthanksapp \nRunning out of patience now enough of loyalty now time to switch https://t.co/wbG94eyZu7'
2021-03-14 14:22:38,"b'RT @pbhakat: @airtelindia above laws/ rules? It arbitrarily deduct Rs 45 from 8900...55, though Auto debit ALREADY STOPPED, confirmation SM\xe2\x80\xa6'"
2021-03-14 14:06:37,b'Dear @airtelindia  your service is disappointing me day by day. From last complaint call drop is coming more. Attac\xe2\x80\xa6 https://t.co/yVb0NQL1Yb'
2021-03-14 13:40:50,"b'RT @pbhakat: @airtelindia arbitrarily deducts Rs 45 from 8900...55, even though Auto debit was ALREADY STOPPED via USSD. Why such harassmen\xe2\x80\xa6'"
2021-03-14 13:36:55,"b""This is reality of airtel it's not provided facility jio is better than airtel plz support jio and airtel fake hai\xe2\x80\xa6 https://t.co/7ke7cIqR2k"""
2021-03-14 13:20:13,"b'RT @mysmartprice: Well, Jio and Airtel may have more subscribers, but it seems Vi offers the highest 4G speeds in India on an average. What\xe2\x80\xa6'"
2021-03-14 13:15:38,b'@airtel No network. Surprise to see ads of Airtel saying network is there in jungles and remote areas also.\n\nHere w\xe2\x80\xa6 https://t.co/YYdRrgpPXy'
2021-03-14 12:29:07,"b'@RwandaICT like our startup project, https://t.co/CI9xDgmkeQ which helps people from Rwanda (often working as expac\xe2\x80\xa6 https://t.co/doBrOgd0I4'"
2021-03-14 12:27:07,"b'RT @mysmartprice: Well, Jio and Airtel may have more subscribers, but it seems Vi offers the highest 4G speeds in India on an average. What\xe2\x80\xa6'"
2021-03-14 12:25:00,"b'Well, Jio and Airtel may have more subscribers, but it seems Vi offers the highest 4G speeds in India on an average\xe2\x80\xa6 https://t.co/vA9PH4Mbxp'"
2021-03-14 11:33:13,"b'Its been 3 months now when i started  complaining  about network,  call dropping and internet  issues. Nothing  has\xe2\x80\xa6 https://t.co/iBLkKNrB2C'"
2021-03-14 10:36:03,b'What is the use of these coupons if we cant redeem them while recharging?? Is it a system glitch or something else\xe2\x80\xa6 https://t.co/IeZh54GoTb'
2021-03-14 10:08:49,b'@Airtel_Presence @TRAI airtel broadband not worked with VPN. We are getting Harraas by @Airtel_Presence. No coopera\xe2\x80\xa6 https://t.co/ACbTZc49yc'
2021-03-14 10:08:20,"b""CONGRATULATIONS TO ALL WINNERS YESTERDAY. TODAY'S FIXED MATCHES ARE NOW AVAILABLE. YOU CAN  CONTACT ME DIRECTLY ON\xe2\x80\xa6 https://t.co/Cfq1w397B3"""
2021-03-14 10:07:30,b'@Airtel_Presence @TRAI airtel broadband not worked with VPN. We are getting Harraas by @Airtel_Presence. No coopera\xe2\x80\xa6 https://t.co/iqG9aebJE9'
2021-03-14 10:03:43,b'Absouletly...Thank you team #airtel for bringing this up to the speed and getting the issue resolved and living up\xe2\x80\xa6 https://t.co/nZcVvejRct'
2021-03-14 09:40:24,b'RT @ShekhawatShiv: AIRTEL service very low last two day call drop problem in jaipur and data problam please shoot out    #AirtelDown #netwo\xe2\x80\xa6'
2021-03-14 09:15:44,b'Is this just me or somebody else is also facing issue of #airtel sim non operational. I was told to get a new sim a\xe2\x80\xa6 https://t.co/DHTRUFtNbb'
2021-03-14 09:00:10,"b'@Airtel_Presence I need assistance with My Airtel WIFI, can someone have a look into this urgently. #airtel\xe2\x80\xa6 https://t.co/NM99QpdKdy'"
2021-03-14 08:40:50,b'@Airtel_Presence @airtelindia #Airtel4G #airtel @TRAI \nWorst 4g speed in my area https://t.co/rKaMVionn3'
2021-03-14 08:40:04,b'Airtel reduces the speed of its network so that customers use less and the company benefits.  Thank you for serving\xe2\x80\xa6 https://t.co/BcRqZoCAFL'
2021-03-14 08:25:10,"b""@b4u_agrawal I'm using #tikona but connection little unstable during evening to night time. Will check #airtel out now."""
2021-03-14 07:46:48,b'RT @UDITARO07740087: Worst network in uttrakhand@#Airtel@#PM narendra Modi'
2021-03-14 07:39:07,b'The validity of this #Airtel no. expired on 13-01-21 &amp; fulfils all criteria for falling under non-usage as per\xe2\x80\xa6 https://t.co/pAl6uleAlB'
2021-03-14 07:34:43,b'AIRTEL service very low last two day call drop problem in jaipur and data problam please shoot out    #AirtelDown\xe2\x80\xa6 https://t.co/Qk6T7P541J'
2021-03-14 07:34:12,b'RT @Moneypurseadv: Video link \xf0\x9f\x91\x89 https://t.co/stedXDypz8 #stockmarket #Askmoneypurse #stockmarkets #stockanalysis #stocks2021 #mtar #airtel\xe2\x80\xa6'
2021-03-14 07:23:15,b'RT @Moneypurseadv: Video link \xf0\x9f\x91\x89 https://t.co/stedXDypz8 #stockmarket #Askmoneypurse #stockmarkets #stockanalysis #stocks2021 #mtar #airtel\xe2\x80\xa6'
2021-03-14 07:08:17,b'How many days does it take to go from an ebill to a paper bill ? One year...seriously? #Airtel #AirtelBroadband #AirtelInternet'
2021-03-14 06:29:35,"b'@airtelindia @Airtel_Presence worst, pathetic service provider is #airtel. Looks like only #airtelThanks will save\xe2\x80\xa6 https://t.co/kyi2YpKT7C'"
2021-03-14 06:17:22,b'@Airtel_Presence Now there is no reply from these people..\n\n#Stranded\n#Airtel Telllll\n#Airtel gone with the Air'
2021-03-14 06:05:47,b'RT @ZeeNewsEnglish: #Airtel offering free data and unlimited calls in THESE plans https://t.co/Nb5y5X3d3a'
2021-03-14 06:01:38,b'@airtelindia  its been more than 15 days i hd taken airtelxstream connection nd yr distributer saying they dont hav\xe2\x80\xa6 https://t.co/2fiYQqkMEZ'
